"Id","Name","Description","LinkToImage","State","Order"
"6117e4f3945a7070cf7824e9","«Опасный поворот направо»","This is an item description.","one_one.png","0","0"
"6117e4f3945a7070cf7824ea","«Опасный поворот налево»","This is an item description.","one_two_.png","0","0"
"6117e4f3945a7070cf7824eb","«Несколько поворотов»","This is an item description.","one_three__one_.png","0","0"
"6117e4f3945a7070cf7824ec","«Несколько поворотов»","This is an item description.","one_three__two_.png","0","0"
"6117e4f3945a7070cf7824ed","«Направление поворота»","This is an item description.","one_four__one_.png","0","0"
"6117e4f3945a7070cf7824ee","«Направление поворота»","This is an item description.","one_four__two_.png","0","0"
"6117f59d5f02aed147b45ae5","«Сужение дороги»","«Сужение дороги»","one_five__one_.png","0","0"
"6117f5e05f02aed147b45ae6","«Сужение дороги»","«Сужение дороги»","one_five__two_.png","0","0"
"6117f5e65f02aed147b45ae7","«Сужение дороги»","«Сужение дороги»","one_five__three_.png","0","0"
"6117f6295f02aed147b45ae8","«Крутой подъем»","«Крутой подъем»","one_six_.png","0","0"
"6117f63d5f02aed147b45ae9","«Крутой спуск»","«Крутой спуск»","one_seven_.png","0","0"
"6117f64f5f02aed147b45aea","«Выезд на набережную или берег»","«Выезд на набережную или берег»","one_eight_.png","0","0"
"6117f6615f02aed147b45aeb","«Туннель»","«Туннель»","one_nine_.png","0","0"
"6117f6835f02aed147b45aec","«Неровная дорога»","«Неровная дорога»","one_one_zero_.png","0","0"
"6117f69f5f02aed147b45aed","«Бугор»","«Бугор»","one_one_one_.png","0","0"
"6117f6bb5f02aed147b45aee","«Выбоина»","«Выбоина»","one_one_two_.png","0","0"
"6117f6ce5f02aed147b45aef","«Скользкая дорога»","«Скользкая дорога»","one_one_three_.png","0","0"
"6117f6e55f02aed147b45af0","«Выброс каменных материалов»","«Выброс каменных материалов»","one_one_four_.png","0","0"
"6117f6f95f02aed147b45af1","«Опасная обочина»","«Опасная обочина»","one_one_five_.png","0","0"
"6117f70d5f02aed147b45af2","«Падение камней»","«Падение камней»","one_one_six_.png","0","0"
"6117f7225f02aed147b45af3","«Боковой ветер»","«Боковой ветер»","one_one_seven_.png","0","0"
"6117f73b5f02aed147b45af4","«Низколетящие самолеты»","«Низколетящие самолеты»","one_one_eight_.png","0","0"
"6117f74f5f02aed147b45af5","«Пересечение с круговым движением»","«Пересечение с круговым движением»","one_one_nine_.png","0","0"
"6117f7615f02aed147b45af6","«Пересечение с трамвайными путями»","«Пересечение с трамвайными путями»","one_two_zero_.png","0","0"
"6117f77d5f02aed147b45af7","«Пересечение равнозначных дорог»","«Пересечение равнозначных дорог»","one_two_one_.png","0","0"
"6117f7a65f02aed147b45af8","«Пересечение с второстепенной дорогой»","«Пересечение с второстепенной дорогой»","one_two_two_.png","0","0"
"6117f7bb5f02aed147b45af9","«Прилегание второстепенной дороги»","«Прилегание второстепенной дороги»","one_two_three__one_.png","0","0"
"6117f7c15f02aed147b45afa","«Прилегание второстепенной дороги»","«Прилегание второстепенной дороги»","one_two_three__two_.png","0","0"
"6117f7c65f02aed147b45afb","«Прилегание второстепенной дороги»","«Прилегание второстепенной дороги»","one_two_three__three_.png","0","0"
"6117f7cb5f02aed147b45afc","«Прилегание второстепенной дороги»","«Прилегание второстепенной дороги»","one_two_three__four_.png","0","0"
"6117f8015f02aed147b45afd","«Светофорное регулирование»","«Светофорное регулирование»","one_two_four_.png","0","0"
"6117f8135f02aed147b45afe","«Разводной мост»","«Разводной мост»","one_two_five_.png","0","0"
"6117f8255f02aed147b45aff","«Двустороннее движение»","«Двустороннее движение»","one_two_six_.png","0","0"
"6117f8385f02aed147b45b00","«Железнодорожный переезд со шлагбаумом»","«Железнодорожный переезд со шлагбаумом»","one_two_seven_.png","0","0"
"6117f84c5f02aed147b45b01","«Железнодорожный переезд без шлагбаума»","«Железнодорожный переезд без шлагбаума»","one_two_eight_.png","0","0"
"6117f85e5f02aed147b45b02","«Однопутная железная дорога»","«Однопутная железная дорога»","one_two_nine_.png","0","0"
"6117f8745f02aed147b45b03","«Многопутная железная дорога»","«Многопутная железная дорога»","one_three_zero_.png","0","0"
"6117f8915f02aed147b45b04","«Приближение к железнодорожному переезду»","«Приближение к железнодорожному переезду»","one_three_one_one_.png","0","0"
"6117f8965f02aed147b45b05","«Приближение к железнодорожному переезду»","«Приближение к железнодорожному переезду»","one_three_one_two_.png","0","0"
"6117f89c5f02aed147b45b06","«Приближение к железнодорожному переезду»","«Приближение к железнодорожному переезду»","one_three_one_three_.png","0","0"
"6117f8a15f02aed147b45b07","«Приближение к железнодорожному переезду»","«Приближение к железнодорожному переезду»","one_three_one_four_.png","0","0"
"6117f8a65f02aed147b45b08","«Приближение к железнодорожному переезду»","«Приближение к железнодорожному переезду»","one_three_one_five_.png","0","0"
"6117f8ab5f02aed147b45b09","«Приближение к железнодорожному переезду»","«Приближение к железнодорожному переезду»","one_three_one_six_.png","0","0"
"6117f9145f02aed147b45b0a","«Пешеходный переход»","«Пешеходный переход»","one_three_two_.png","0","0"
"6117f9275f02aed147b45b0b","«Дети»","«Дети»","one_three_three_.png","0","0"
"6117f9385f02aed147b45b0c","«Выезд велосипедистов»","«Выезд велосипедистов»","one_three_four_.png","0","0"
"6117f94d5f02aed147b45b0d","«Перегон скота»","«Перегон скота»","one_three_five_.png","0","0"
"6117f9615f02aed147b45b0e","«Дикие животные»","«Дикие животные»","one_three_six_.png","0","0"
"6117f97d5f02aed147b45b0f","«Дорожные работы»","«Дорожные работы»","one_three_seven_.png","0","0"
"6117f98f5f02aed147b45b10","«Заторы в дорожном движении»","«Заторы в дорожном движении»","one_three_eight_.png","0","0"
"6117f9a35f02aed147b45b11","«Иная опасность (аварийно опасный участок)»","«Иная опасность (аварийно опасный участок)»","one_three_nine_.png","0","0"
"6117f9c75f02aed147b45b12","«Изменение покрытия»","«Изменение покрытия»","one_four_zero__.png","0","0"
